"date","home.team","away.team","home.score","away.score"
2012-02-04,"Barcelona","Sociedad",2,1
2012-02-04,"Getafe","Real Madrid",0,1
2012-02-04,"Levante","Santander",1,1
2012-02-04,"Mallorca","Betis",1,0
2012-02-05,"Ath Madrid","Valencia",0,0
2012-02-05,"Sevilla","Villarreal",1,2
2012-02-05,"Sp Gijon","Osasuna",1,1
2012-02-05,"Zaragoza","Vallecano",1,2
2012-02-06,"Granada","Malaga",2,1
2012-02-11,"Betis","Ath Bilbao",2,1
2012-02-11,"Osasuna","Barcelona",3,2
2012-02-11,"Santander","Ath Madrid",0,0
2012-02-12,"Espanol","Zaragoza",0,2
2012-02-12,"Malaga","Mallorca",3,1
2012-02-12,"Real Madrid","Levante",4,2
2012-02-12,"Valencia","Sp Gijon",4,0
2012-02-12,"Vallecano","Getafe",2,0
2012-02-12,"Villarreal","Granada",3,1
2012-02-13,"Sociedad","Sevilla",2,0
2012-02-18,"Getafe","Espanol",1,1
2012-02-18,"Real Madrid","Santander",4,0
2012-02-18,"Sevilla","Osasuna",2,0
2012-02-19,"Ath Bilbao","Malaga",3,0
2012-02-19,"Barcelona","Valencia",5,1
2012-02-19,"Granada","Sociedad",4,1
2012-02-19,"Levante","Vallecano",3,5
2012-02-19,"Mallorca","Villarreal",4,0
2012-02-19,"Sp Gijon","Ath Madrid",1,1
2012-02-20,"Zaragoza","Betis",0,2
2012-02-25,"Betis","Getafe",1,1
2012-02-25,"Espanol","Levante",1,2
2012-02-25,"Malaga","Zaragoza",5,1
2012-02-25,"Santander","Sp Gijon",1,1
2012-02-26,"Ath Madrid","Barcelona",1,2
2012-02-26,"Osasuna","Granada",2,1
2012-02-26,"Sociedad","Mallorca",1,0
2012-02-26,"Valencia","Sevilla",1,2
2012-02-26,"Vallecano","Real Madrid",0,1
2012-02-26,"Villarreal","Ath Bilbao",2,2
2012-03-03,"Barcelona","Sp Gijon",3,1
2012-03-03,"Getafe","Malaga",1,3
2012-03-03,"Mallorca","Osasuna",1,1
2012-03-03,"Sevilla","Ath Madrid",1,1
2012-03-03,"Vallecano","Santander",4,2
2012-03-04,"Ath Bilbao","Sociedad",2,0
2012-03-04,"Granada","Valencia",0,1
2012-03-04,"Real Madrid","Espanol",5,0
2012-03-04,"Zaragoza","Villarreal",2,1
2012-03-05,"Levante","Betis",3,1
2012-03-10,"Betis","Real Madrid",2,3
2012-03-10,"Malaga","Levante",1,0
2012-03-10,"Sociedad","Zaragoza",3,0
2012-03-10,"Sp Gijon","Sevilla",1,0
2012-03-11,"Ath Madrid","Granada",2,0
2012-03-11,"Espanol","Vallecano",5,1
2012-03-11,"Osasuna","Ath Bilbao",2,1
2012-03-11,"Santander","Barcelona",0,2
2012-03-11,"Valencia","Mallorca",2,2
2012-03-12,"Villarreal","Getafe",1,2
2012-03-17,"Getafe","Sociedad",1,0
2012-03-17,"Granada","Sp Gijon",2,1
2012-03-17,"Sevilla","Barcelona",0,2
2012-03-17,"Vallecano","Betis",3,0
2012-03-17,"Zaragoza","Osasuna",1,1
2012-03-18,"Ath Bilbao","Valencia",0,3
2012-03-18,"Levante","Villarreal",1,0
2012-03-18,"Mallorca","Ath Madrid",2,1
2012-03-18,"Real Madrid","Malaga",1,1
2012-03-19,"Espanol","Santander",3,1
2012-03-20,"Barcelona","Granada",5,3
2012-03-20,"Osasuna","Getafe",0,0
2012-03-21,"Ath Madrid","Ath Bilbao",2,1
2012-03-21,"Sociedad","Levante",1,3
2012-03-21,"Sp Gijon","Mallorca",2,3
2012-03-21,"Valencia","Zaragoza",1,2
2012-03-21,"Villarreal","Real Madrid",1,1
2012-03-22,"Betis","Espanol",1,1
2012-03-22,"Malaga","Vallecano",4,2
2012-03-22,"Santander","Sevilla",0,3
2012-03-24,"Getafe","Valencia",3,1
2012-03-24,"Mallorca","Barcelona",0,2
2012-03-24,"Real Madrid","Sociedad",5,1
2012-03-25,"Ath Bilbao","Sp Gijon",1,1
2012-03-25,"Betis","Santander",1,1
2012-03-25,"Espanol","Malaga",1,2
2012-03-25,"Levante","Osasuna",0,2
2012-03-25,"Vallecano","Villarreal",0,2
2012-03-25,"Zaragoza","Ath Madrid",1,0
2012-03-26,"Granada","Sevilla",0,3
2012-03-31,"Barcelona","Ath Bilbao",2,0
2012-03-31,"Malaga","Betis",0,2
2012-03-31,"Osasuna","Real Madrid",1,5
2012-03-31,"Santander","Granada",0,1
2012-03-31,"Sp Gijon","Zaragoza",1,2
2012-04-01,"Ath Madrid","Getafe",3,0
2012-04-01,"Sociedad","Vallecano",4,0
2012-04-01,"Valencia","Levante",1,1
2012-04-01,"Villarreal","Espanol",0,0
2012-04-02,"Sevilla","Mallorca",3,1
2012-04-07,"Betis","Villarreal",3,1
2012-04-07,"Espanol","Sociedad",2,2
2012-04-07,"Getafe","Sp Gijon",2,0
2012-04-07,"Vallecano","Osasuna",6,0
2012-04-07,"Zaragoza","Barcelona",1,4
2012-04-08,"Ath Bilbao","Sevilla",1,0
2012-04-08,"Levante","Ath Madrid",2,0
2012-04-08,"Mallorca","Granada",0,0
2012-04-08,"Real Madrid","Valencia",0,0
2012-04-09,"Malaga","Santander",3,0
2012-04-10,"Barcelona","Getafe",4,0
2012-04-10,"Osasuna","Espanol",2,0
2012-04-10,"Sociedad","Betis",1,1
2012-04-11,"Ath Madrid","Real Madrid",1,4
2012-04-11,"Granada","Ath Bilbao",2,2
2012-04-11,"Sp Gijon","Levante",3,2
2012-04-11,"Valencia","Vallecano",4,1
2012-04-12,"Santander","Mallorca",0,3
2012-04-12,"Sevilla","Zaragoza",3,0
2012-04-12,"Villarreal","Malaga",2,1
2012-04-14,"Levante","Barcelona",1,2
2012-04-14,"Real Madrid","Sp Gijon",3,1
2012-04-15,"Ath Bilbao","Mallorca",1,0
2012-04-15,"Betis","Osasuna",1,0
2012-04-15,"Espanol","Valencia",4,0
2012-04-15,"Malaga","Sociedad",1,1
2012-04-15,"Vallecano","Ath Madrid",0,1
2012-04-15,"Villarreal","Santander",1,1
2012-04-15,"Zaragoza","Granada",1,0
2012-04-16,"Getafe","Sevilla",5,1
2012-04-21,"Barcelona","Real Madrid",1,2
2012-04-21,"Mallorca","Zaragoza",1,0
2012-04-21,"Sevilla","Levante",1,1
2012-04-21,"Sp Gijon","Vallecano",2,1
2012-04-22,"Ath Madrid","Espanol",3,1
2012-04-22,"Granada","Getafe",1,0
2012-04-22,"Santander","Ath Bilbao",0,1
2012-04-22,"Sociedad","Villarreal",1,1
2012-04-22,"Valencia","Betis",4,0
2012-04-23,"Osasuna","Malaga",1,1
2012-04-28,"Espanol","Sp Gijon",0,3
2012-04-28,"Getafe","Mallorca",1,3
2012-04-28,"Levante","Granada",3,1
2012-04-28,"Sociedad","Santander",3,0
2012-04-28,"Villarreal","Osasuna",1,1
2012-04-29,"Betis","Ath Madrid",2,2
2012-04-29,"Malaga","Valencia",1,0
2012-04-29,"Real Madrid","Sevilla",3,0
2012-04-29,"Vallecano","Barcelona",0,7
2012-04-29,"Zaragoza","Ath Bilbao",2,0
2012-05-01,"Getafe","Santander",1,1
2012-05-01,"Granada","Espanol",2,1
2012-05-01,"Sp Gijon","Villarreal",2,3
2012-05-02,"Ath Bilbao","Real Madrid",0,3
2012-05-02,"Ath Madrid","Sociedad",1,1
2012-05-02,"Barcelona","Malaga",4,1
2012-05-02,"Mallorca","Vallecano",1,0
2012-05-02,"Sevilla","Betis",1,2
2012-05-02,"Valencia","Osasuna",4,0
2012-05-02,"Zaragoza","Levante",1,0
2012-05-05,"Ath Bilbao","Getafe",0,0
2012-05-05,"Ath Madrid","Malaga",2,1
2012-05-05,"Barcelona","Espanol",4,0
2012-05-05,"Granada","Real Madrid",1,2
2012-05-05,"Mallorca","Levante",1,0
2012-05-05,"Osasuna","Sociedad",1,0
2012-05-05,"Sevilla","Vallecano",5,2
2012-05-05,"Sp Gijon","Betis",2,1
2012-05-05,"Valencia","Villarreal",1,0
2012-05-05,"Zaragoza","Santander",2,1
2012-05-12,"Betis","Barcelona",2,2
2012-05-12,"Sociedad","Valencia",1,0
2012-05-13,"Espanol","Sevilla",1,1
2012-05-13,"Getafe","Zaragoza",0,2
2012-05-13,"Levante","Ath Bilbao",3,0
2012-05-13,"Malaga","Sp Gijon",1,0
2012-05-13,"Real Madrid","Mallorca",4,1
2012-05-13,"Santander","Osasuna",2,4
2012-05-13,"Vallecano","Granada",1,0
2012-05-13,"Villarreal","Ath Madrid",0,1
2012-08-18,"Celta","Malaga",0,1
2012-08-18,"Mallorca","Espanol",2,1
2012-08-18,"Sevilla","Getafe",2,1
2012-08-19,"Ath Bilbao","Betis",3,5
2012-08-19,"Barcelona","Sociedad",5,1
2012-08-19,"Levante","Ath Madrid",1,1
2012-08-19,"Real Madrid","Valencia",1,1
2012-08-20,"La Coruna","Osasuna",2,0
2012-08-20,"Vallecano","Granada",1,0
2012-08-20,"Zaragoza","Valladolid",0,1
2012-08-25,"Betis","Vallecano",1,2
2012-08-25,"Espanol","Zaragoza",1,2
2012-08-25,"Malaga","Mallorca",1,1
2012-08-25,"Sociedad","Celta",2,1
2012-08-26,"Getafe","Real Madrid",2,1
2012-08-26,"Granada","Sevilla",1,1
2012-08-26,"Osasuna","Barcelona",1,2
2012-08-26,"Valencia","La Coruna",3,3
2012-08-27,"Ath Madrid","Ath Bilbao",4,0
2012-08-27,"Valladolid","Levante",2,0
2012-09-01,"Celta","Osasuna",2,0
2012-09-01,"La Coruna","Getafe",1,1
2012-09-01,"Mallorca","Sociedad",1,0
2012-09-01,"Zaragoza","Malaga",0,1
2012-09-02,"Ath Bilbao","Valladolid",2,0
2012-09-02,"Barcelona","Valencia",1,0
2012-09-02,"Levante","Espanol",3,2
2012-09-02,"Real Madrid","Granada",3,0
2012-09-02,"Vallecano","Sevilla",0,0
2012-09-15,"Getafe","Barcelona",1,4
2012-09-15,"Malaga","Levante",3,1
2012-09-15,"Sevilla","Real Madrid",1,0
2012-09-15,"Valencia","Celta",2,1
2012-09-16,"Ath Madrid","Vallecano",4,3
2012-09-16,"Espanol","Ath Bilbao",3,3
2012-09-16,"Granada","La Coruna",1,1
2012-09-16,"Osasuna","Mallorca",1,1
2012-09-16,"Sociedad","Zaragoza",2,0
2012-09-17,"Valladolid","Betis",0,1
2012-09-22,"Barcelona","Granada",2,0
2012-09-22,"Betis","Espanol",1,0
2012-09-22,"Celta","Getafe",2,1
2012-09-22,"Zaragoza","Osasuna",3,1
2012-09-23,"Ath Bilbao","Malaga",0,0
2012-09-23,"Ath Madrid","Valladolid",2,1
2012-09-23,"Levante","Sociedad",2,1
2012-09-23,"Mallorca","Valencia",2,0
2012-09-24,"La Coruna","Sevilla",0,2
2012-09-24,"Vallecano","Real Madrid",0,2
2012-09-26,"Betis","Ath Madrid",2,4
2012-09-29,"Malaga","Betis",4,0
2012-09-29,"Sevilla","Barcelona",2,3
2012-09-29,"Sociedad","Ath Bilbao",2,0
2012-09-29,"Valencia","Zaragoza",2,0
2012-09-30,"Espanol","Ath Madrid",0,1
2012-09-30,"Granada","Celta",2,1
2012-09-30,"Osasuna","Levante",4,0
2012-09-30,"Real Madrid","La Coruna",5,1
2012-09-30,"Valladolid","Vallecano",6,1
2012-10-01,"Getafe","Mallorca",1,0
2012-10-05,"Celta","Sevilla",2,0
2012-10-06,"Betis","Sociedad",2,0
2012-10-06,"Valladolid","Espanol",1,1
2012-10-06,"Vallecano","La Coruna",2,1
2012-10-06,"Zaragoza","Getafe",0,1
2012-10-07,"Ath Bilbao","Osasuna",1,0
2012-10-07,"Ath Madrid","Malaga",2,1
2012-10-07,"Barcelona","Real Madrid",2,2
2012-10-07,"Levante","Valencia",1,0
2012-10-07,"Mallorca","Granada",1,2
2012-10-20,"La Coruna","Barcelona",4,5
2012-10-20,"Malaga","Valladolid",2,1
2012-10-20,"Real Madrid","Celta",2,0
2012-10-20,"Valencia","Ath Bilbao",3,2
2012-10-21,"Espanol","Vallecano",3,2
2012-10-21,"Getafe","Levante",0,1
2012-10-21,"Granada","Zaragoza",1,2
2012-10-21,"Osasuna","Betis",0,0
2012-10-21,"Sociedad","Ath Madrid",0,1
2012-10-22,"Sevilla","Mallorca",3,2
2012-10-27,"Betis","Valencia",1,0
2012-10-27,"Celta","La Coruna",1,1
2012-10-27,"Espanol","Malaga",0,0
2012-10-27,"Vallecano","Barcelona",0,5
2012-10-28,"Ath Bilbao","Getafe",1,2
2012-10-28,"Ath Madrid","Osasuna",3,1
2012-10-28,"Levante","Granada",3,1
2012-10-28,"Mallorca","Real Madrid",0,5
2012-10-28,"Zaragoza","Sevilla",2,1
2012-10-29,"Valladolid","Sociedad",2,2
2012-11-03,"Barcelona","Celta",3,1
2012-11-03,"Malaga","Vallecano",1,2
2012-11-03,"Real Madrid","Zaragoza",4,0
2012-11-03,"Valencia","Ath Madrid",2,0
2012-11-04,"Granada","Ath Bilbao",1,2
2012-11-04,"La Coruna","Mallorca",1,0
2012-11-04,"Osasuna","Valladolid",0,1
2012-11-04,"Sevilla","Levante",0,0
2012-11-04,"Sociedad","Espanol",0,1
2012-11-05,"Getafe","Betis",2,4
2012-11-09,"Betis","Granada",1,2
2012-11-10,"Espanol","Osasuna",0,3
2012-11-10,"Malaga","Sociedad",1,2
2012-11-10,"Vallecano","Celta",3,2
2012-11-10,"Zaragoza","La Coruna",5,3
2012-11-11,"Ath Bilbao","Sevilla",2,1
2012-11-11,"Ath Madrid","Getafe",2,0
2012-11-11,"Levante","Real Madrid",1,2
2012-11-11,"Mallorca","Barcelona",2,4
2012-11-11,"Valladolid","Valencia",1,1
2012-11-17,"Barcelona","Zaragoza",3,1
2012-11-17,"Osasuna","Malaga",0,0
2012-11-17,"Real Madrid","Ath Bilbao",5,1
2012-11-17,"Valencia","Espanol",2,1
2012-11-18,"Celta","Mallorca",1,1
2012-11-18,"Getafe","Valladolid",2,1
2012-11-18,"Granada","Ath Madrid",0,1
2012-11-18,"La Coruna","Levante",0,2
2012-11-18,"Sevilla","Betis",5,1
2012-11-19,"Sociedad","Vallecano",4,0
2012-11-23,"Sociedad","Osasuna",0,0
2012-11-24,"Betis","Real Madrid",1,0
2012-11-24,"Malaga","Valencia",4,0
2012-11-24,"Valladolid","Granada",1,0
2012-11-24,"Vallecano","Mallorca",2,0
2012-11-25,"Ath Bilbao","La Coruna",1,1
2012-11-25,"Ath Madrid","Sevilla",4,0
2012-11-25,"Espanol","Getafe",0,2
2012-11-25,"Levante","Barcelona",0,4
2012-11-26,"Zaragoza","Celta",0,1
2012-11-30,"Osasuna","Vallecano",1,0
2012-12-01,"Barcelona","Ath Bilbao",5,1
2012-12-01,"Getafe","Malaga",1,0
2012-12-01,"Real Madrid","Ath Madrid",2,0
2012-12-01,"Valencia","Sociedad",2,5
2012-12-02,"Celta","Levante",1,1
2012-12-02,"Granada","Espanol",0,0
2012-12-02,"La Coruna","Betis",2,3
2012-12-02,"Mallorca","Zaragoza",1,1
2012-12-03,"Sevilla","Valladolid",1,2
2012-12-07,"Espanol","Sevilla",2,2
2012-12-08,"Malaga","Granada",4,0
2012-12-08,"Osasuna","Valencia",0,1
2012-12-08,"Sociedad","Getafe",1,1
2012-12-08,"Valladolid","Real Madrid",2,3
2012-12-09,"Ath Bilbao","Celta",1,0
2012-12-09,"Ath Madrid","La Coruna",6,0
2012-12-09,"Betis","Barcelona",1,2
2012-12-09,"Levante","Mallorca",4,0
2012-12-10,"Vallecano","Zaragoza",0,2
2012-12-15,"Getafe","Osasuna",1,1
2012-12-15,"Granada","Sociedad",0,0
2012-12-15,"Mallorca","Ath Bilbao",0,1
2012-12-15,"Sevilla","Malaga",0,2
2012-12-16,"Barcelona","Ath Madrid",4,1
2012-12-16,"Real Madrid","Espanol",2,2
2012-12-16,"Valencia","Vallecano",0,1
2012-12-16,"Zaragoza","Levante",0,1
2012-12-17,"Celta","Betis",0,1
2012-12-17,"La Coruna","Valladolid",0,0
2012-12-20,"Espanol","La Coruna",2,0
2012-12-20,"Sociedad","Sevilla",2,1
2012-12-20,"Vallecano","Levante",3,0
2012-12-21,"Ath Madrid","Celta",1,0
2012-12-21,"Valencia","Getafe",4,2
2012-12-22,"Ath Bilbao","Zaragoza",0,2
2012-12-22,"Betis","Mallorca",1,2
2012-12-22,"Malaga","Real Madrid",3,2
2012-12-22,"Osasuna","Granada",1,2
2012-12-22,"Valladolid","Barcelona",1,3
2013-01-04,"Zaragoza","Betis",1,2
2013-01-05,"Granada","Valencia",1,2
2013-01-05,"La Coruna","Malaga",1,0
2013-01-05,"Levante","Ath Bilbao",3,1
2013-01-05,"Sevilla","Osasuna",1,0
2013-01-06,"Barcelona","Espanol",4,0
2013-01-06,"Celta","Valladolid",3,1
2013-01-06,"Mallorca","Ath Madrid",1,1
2013-01-06,"Real Madrid","Sociedad",4,3
2013-01-07,"Vallecano","Getafe",3,1
2013-01-11,"Ath Bilbao","Vallecano",1,2
2013-01-12,"Espanol","Celta",1,0
2013-01-12,"Osasuna","Real Madrid",0,0
2013-01-12,"Valencia","Sevilla",2,0
2013-01-12,"Valladolid","Mallorca",3,1
2013-01-13,"Ath Madrid","Zaragoza",2,0
2013-01-13,"Betis","Levante",2,0
2013-01-13,"Malaga","Barcelona",1,3
2013-01-13,"Sociedad","La Coruna",1,1
2013-01-14,"Getafe","Granada",2,2
2013-01-18,"Espanol","Mallorca",3,2
2013-01-19,"Getafe","Sevilla",1,1
2013-01-19,"Granada","Vallecano",2,0
2013-01-19,"Malaga","Celta",1,1
2013-01-19,"Sociedad","Barcelona",3,2
2013-01-20,"Ath Madrid","Levante",2,0
2013-01-20,"Osasuna","La Coruna",2,1
2013-01-20,"Valencia","Real Madrid",0,5
2013-01-20,"Valladolid","Zaragoza",2,0
2013-01-21,"Betis","Ath Bilbao",1,1
2013-01-26,"Celta","Sociedad",1,1
2013-01-26,"La Coruna","Valencia",2,3
2013-01-26,"Levante","Valladolid",2,1
2013-01-26,"Zaragoza","Espanol",0,0
2013-01-27,"Ath Bilbao","Ath Madrid",3,0
2013-01-27,"Barcelona","Osasuna",5,1
2013-01-27,"Mallorca","Malaga",2,3
2013-01-27,"Real Madrid","Getafe",4,0
2013-01-27,"Vallecano","Betis",3,0
2013-01-28,"Sevilla","Granada",3,0
2013-02-01,"Valladolid","Ath Bilbao",2,2
2013-02-02,"Espanol","Levante",3,2
2013-02-02,"Getafe","La Coruna",3,1
2013-02-02,"Granada","Real Madrid",1,0
2013-02-02,"Osasuna","Celta",1,0
2013-02-03,"Ath Madrid","Betis",1,0
2013-02-03,"Malaga","Zaragoza",1,1
2013-02-03,"Sevilla","Vallecano",2,1
2013-02-03,"Sociedad","Mallorca",3,0
2013-02-03,"Valencia","Barcelona",1,1
2013-02-09,"Celta","Valencia",0,1
2013-02-09,"La Coruna","Granada",0,3
2013-02-09,"Levante","Malaga",1,2
2013-02-09,"Mallorca","Osasuna",1,1
2013-02-09,"Real Madrid","Sevilla",4,1
2013-02-10,"Ath Bilbao","Espanol",0,4
2013-02-10,"Barcelona","Getafe",6,1
2013-02-10,"Vallecano","Ath Madrid",2,1
2013-02-10,"Zaragoza","Sociedad",1,2
2013-02-11,"Betis","Valladolid",0,0
2013-02-15,"Sevilla","La Coruna",3,1
2013-02-16,"Getafe","Celta",3,1
2013-02-16,"Granada","Barcelona",1,2
2013-02-16,"Malaga","Ath Bilbao",1,0
2013-02-16,"Osasuna","Zaragoza",1,0
2013-02-17,"Espanol","Betis",1,0
2013-02-17,"Real Madrid","Vallecano",2,0
2013-02-17,"Sociedad","Levante",1,1
2013-02-17,"Valencia","Mallorca",2,0
2013-02-17,"Valladolid","Ath Madrid",0,3
2013-02-22,"Ath Bilbao","Sociedad",1,3
2013-02-23,"Barcelona","Sevilla",2,1
2013-02-23,"La Coruna","Real Madrid",1,2
2013-02-23,"Mallorca","Getafe",1,3
2013-02-23,"Zaragoza","Valencia",2,2
2013-02-24,"Ath Madrid","Espanol",1,0
2013-02-24,"Betis","Malaga",3,0
2013-02-24,"Celta","Granada",2,1
2013-02-24,"Vallecano","Valladolid",1,2
2013-02-25,"Levante","Osasuna",0,2
2013-03-01,"Getafe","Zaragoza",2,0
2013-03-02,"La Coruna","Vallecano",0,0
2013-03-02,"Osasuna","Ath Bilbao",0,1
2013-03-02,"Real Madrid","Barcelona",2,1
2013-03-02,"Valencia","Levante",2,2
2013-03-03,"Espanol","Valladolid",0,0
2013-03-03,"Granada","Mallorca",1,2
2013-03-03,"Malaga","Ath Madrid",0,0
2013-03-03,"Sociedad","Betis",3,3
2013-03-04,"Sevilla","Celta",4,1
2013-03-08,"Betis","Osasuna",2,1
2013-03-09,"Barcelona","La Coruna",2,0
2013-03-09,"Mallorca","Sevilla",2,1
2013-03-09,"Valladolid","Malaga",1,1
2013-03-09,"Vallecano","Espanol",2,0
2013-03-10,"Ath Bilbao","Valencia",1,0
2013-03-10,"Ath Madrid","Sociedad",0,1
2013-03-10,"Celta","Real Madrid",1,2
2013-03-10,"Levante","Getafe",0,0
2013-03-11,"Zaragoza","Granada",0,0
2013-03-15,"La Coruna","Celta",3,1
2013-03-16,"Getafe","Ath Bilbao",1,0
2013-03-16,"Real Madrid","Mallorca",5,2
2013-03-16,"Sociedad","Valladolid",4,1
2013-03-16,"Valencia","Betis",3,0
2013-03-17,"Barcelona","Vallecano",3,1
2013-03-17,"Granada","Levante",1,1
2013-03-17,"Malaga","Espanol",0,2
2013-03-17,"Osasuna","Ath Madrid",0,2
2013-03-17,"Sevilla","Zaragoza",4,0
2013-03-30,"Celta","Barcelona",2,2
2013-03-30,"Levante","Sevilla",1,0
2013-03-30,"Vallecano","Malaga",1,3
2013-03-30,"Zaragoza","Real Madrid",1,1
2013-03-31,"Ath Madrid","Valencia",1,1
2013-03-31,"Espanol","Sociedad",2,2
2013-03-31,"Mallorca","La Coruna",2,3
2013-03-31,"Valladolid","Osasuna",1,3
2013-04-01,"Ath Bilbao","Granada",1,0
2013-04-01,"Betis","Getafe",0,0
2013-04-05,"Granada","Betis",1,5
2013-04-06,"Barcelona","Mallorca",5,0
2013-04-06,"La Coruna","Zaragoza",3,2
2013-04-06,"Real Madrid","Levante",5,1
2013-04-06,"Sociedad","Malaga",4,2
2013-04-07,"Celta","Vallecano",0,2
2013-04-07,"Getafe","Ath Madrid",0,0
2013-04-07,"Osasuna","Espanol",0,2
2013-04-07,"Valencia","Valladolid",2,1
2013-04-08,"Sevilla","Ath Bilbao",2,1
2013-04-12,"Betis","Sevilla",3,3
2013-04-13,"Espanol","Valencia",3,3
2013-04-13,"Levante","La Coruna",0,4
2013-04-13,"Malaga","Osasuna",1,0
2013-04-13,"Valladolid","Getafe",2,1
2013-04-14,"Ath Bilbao","Real Madrid",0,3
2013-04-14,"Ath Madrid","Granada",5,0
2013-04-14,"Vallecano","Sociedad",0,2
2013-04-14,"Zaragoza","Barcelona",0,3
2013-04-15,"Mallorca","Celta",1,0
2013-04-19,"Mallorca","Vallecano",1,1
2013-04-20,"Barcelona","Levante",1,0
2013-04-20,"Granada","Valladolid",1,1
2013-04-20,"Real Madrid","Betis",3,1
2013-04-20,"Valencia","Malaga",5,1
2013-04-21,"Getafe","Espanol",0,2
2013-04-21,"La Coruna","Ath Bilbao",1,1
2013-04-21,"Osasuna","Sociedad",0,0
2013-04-21,"Sevilla","Ath Madrid",0,1
2013-04-22,"Celta","Zaragoza",2,1
2013-04-26,"Vallecano","Osasuna",2,2
2013-04-27,"Ath Bilbao","Barcelona",2,2
2013-04-27,"Ath Madrid","Real Madrid",1,2
2013-04-27,"Levante","Celta",0,1
2013-04-27,"Zaragoza","Mallorca",3,2
2013-04-28,"Espanol","Granada",0,1
2013-04-28,"Malaga","Getafe",2,1
2013-04-28,"Sociedad","Valencia",4,2
2013-04-28,"Valladolid","Sevilla",1,1
2013-04-29,"Betis","La Coruna",1,1
2013-05-03,"Celta","Ath Bilbao",1,1
2013-05-04,"Granada","Malaga",1,0
2013-05-04,"La Coruna","Ath Madrid",0,0
2013-05-04,"Real Madrid","Valladolid",4,3
2013-05-04,"Valencia","Osasuna",4,0
2013-05-05,"Barcelona","Betis",4,2
2013-05-05,"Mallorca","Levante",1,1
2013-05-05,"Sevilla","Espanol",3,0
2013-05-05,"Zaragoza","Vallecano",3,0
2013-05-06,"Getafe","Sociedad",2,1
2013-05-08,"Celta","Ath Madrid",1,3
2013-05-08,"Real Madrid","Malaga",6,2
2013-05-10,"Levante","Zaragoza",0,0
2013-05-11,"Ath Bilbao","Mallorca",2,1
2013-05-11,"Espanol","Real Madrid",1,1
2013-05-11,"Osasuna","Getafe",1,0
2013-05-11,"Valladolid","La Coruna",1,0
2013-05-12,"Ath Madrid","Barcelona",1,2
2013-05-12,"Betis","Celta",1,0
2013-05-12,"Malaga","Sevilla",0,0
2013-05-12,"Vallecano","Valencia",0,4
2013-05-13,"Sociedad","Granada",2,2
2013-05-18,"Getafe","Valencia",0,1
2013-05-18,"Granada","Osasuna",3,0
2013-05-18,"Sevilla","Sociedad",1,2
2013-05-19,"Barcelona","Valladolid",2,1
2013-05-19,"La Coruna","Espanol",2,0
2013-05-19,"Levante","Vallecano",2,3
2013-05-19,"Zaragoza","Ath Bilbao",1,2
2013-05-20,"Mallorca","Betis",1,0
2013-05-26,"Ath Bilbao","Levante",0,1
2013-05-26,"Ath Madrid","Mallorca",0,0
2013-05-26,"Betis","Zaragoza",4,0
2013-05-26,"Espanol","Barcelona",0,2
2013-05-26,"Getafe","Vallecano",1,2
2013-05-26,"Malaga","La Coruna",3,1
2013-05-26,"Osasuna","Sevilla",2,1
2013-05-26,"Sociedad","Real Madrid",3,3
2013-05-26,"Valencia","Granada",1,0
2013-05-26,"Valladolid","Celta",0,2
2013-06-01,"Barcelona","Malaga",4,1
2013-06-01,"Celta","Espanol",1,0
2013-06-01,"Granada","Getafe",2,0
2013-06-01,"La Coruna","Sociedad",0,1
2013-06-01,"Levante","Betis",1,1
2013-06-01,"Mallorca","Valladolid",4,2
2013-06-01,"Real Madrid","Osasuna",4,2
2013-06-01,"Sevilla","Valencia",4,3
2013-06-01,"Vallecano","Ath Bilbao",2,2
2013-06-01,"Zaragoza","Ath Madrid",1,3
2013-08-17,"Sociedad","Getafe",2,0
2013-08-17,"Valencia","Malaga",1,0
2013-08-17,"Valladolid","Ath Bilbao",1,2
2013-08-18,"Barcelona","Levante",7,0
2013-08-18,"Osasuna","Granada",1,2
2013-08-18,"Real Madrid","Betis",2,1
2013-08-18,"Sevilla","Ath Madrid",1,3
2013-08-19,"Almeria","Villarreal",2,3
2013-08-19,"Celta","Espanol",2,2
2013-08-19,"Vallecano","Elche",3,0
2013-08-23,"Ath Bilbao","Osasuna",2,0
2013-08-23,"Getafe","Almeria",2,2
2013-08-24,"Elche","Sociedad",1,1
2013-08-24,"Espanol","Valencia",3,1
2013-08-24,"Villarreal","Valladolid",2,1
2013-08-25,"Ath Madrid","Vallecano",5,0
2013-08-25,"Betis","Celta",1,2
2013-08-25,"Levante","Sevilla",0,0
2013-08-25,"Malaga","Barcelona",0,1
2013-08-26,"Granada","Real Madrid",0,1
2013-08-30,"Almeria","Elche",2,2
2013-08-30,"Vallecano","Levante",1,2
2013-08-31,"Celta","Granada",1,1
2013-08-31,"Osasuna","Villarreal",0,3
2013-08-31,"Valladolid","Getafe",1,0
2013-09-01,"Espanol","Betis",0,0
2013-09-01,"Real Madrid","Ath Bilbao",3,1
2013-09-01,"Sevilla","Malaga",2,2
2013-09-01,"Sociedad","Ath Madrid",1,2
2013-09-01,"Valencia","Barcelona",2,3
2013-09-14,"Ath Madrid","Almeria",4,2
2013-09-14,"Barcelona","Sevilla",3,2
2013-09-14,"Levante","Sociedad",0,0
2013-09-14,"Villarreal","Real Madrid",2,2
2013-09-15,"Betis","Valencia",3,1
