"date","home.team","away.team","home.score","away.score"
2010-12-05,"Almeria","Zaragoza",1,1
2010-12-05,"Espanol","Sp Gijon",1,0
2010-12-05,"Getafe","Mallorca",3,0
2010-12-05,"Malaga","Santander",4,1
2010-12-05,"Sociedad","Ath Bilbao",2,0
2010-12-05,"Villarreal","Sevilla",1,0
2010-12-06,"La Coruna","Hercules",1,0
2010-12-11,"Ath Madrid","La Coruna",2,0
2010-12-11,"Getafe","Villarreal",1,0
2010-12-11,"Sevilla","Almeria",1,3
2010-12-12,"Ath Bilbao","Espanol",2,1
2010-12-12,"Barcelona","Sociedad",5,0
2010-12-12,"Hercules","Malaga",4,1
2010-12-12,"Mallorca","Santander",0,1
2010-12-12,"Sp Gijon","Levante",1,1
2010-12-12,"Zaragoza","Real Madrid",1,3
2010-12-13,"Valencia","Osasuna",3,3
2010-12-18,"Espanol","Barcelona",1,5
2010-12-18,"La Coruna","Sp Gijon",1,1
2010-12-18,"Levante","Ath Bilbao",1,2
2010-12-18,"Sociedad","Valencia",1,2
2010-12-18,"Villarreal","Mallorca",3,1
2010-12-19,"Almeria","Getafe",2,3
2010-12-19,"Malaga","Ath Madrid",0,3
2010-12-19,"Osasuna","Zaragoza",0,0
2010-12-19,"Real Madrid","Sevilla",1,0
2010-12-20,"Santander","Hercules",0,0
2011-01-02,"Ath Bilbao","La Coruna",1,2
2011-01-02,"Barcelona","Levante",2,1
2011-01-02,"Sevilla","Osasuna",1,0
2011-01-02,"Sp Gijon","Malaga",1,2
2011-01-02,"Valencia","Espanol",2,1
2011-01-03,"Ath Madrid","Santander",0,0
2011-01-03,"Getafe","Real Madrid",2,3
2011-01-03,"Mallorca","Hercules",3,0
2011-01-03,"Villarreal","Almeria",2,0
2011-01-03,"Zaragoza","Sociedad",2,1
2011-01-08,"La Coruna","Barcelona",0,4
2011-01-08,"Malaga","Ath Bilbao",1,1
2011-01-08,"Sociedad","Sevilla",2,3
2011-01-09,"Espanol","Zaragoza",4,0
2011-01-09,"Levante","Valencia",0,1
2011-01-09,"Mallorca","Almeria",4,1
2011-01-09,"Osasuna","Getafe",0,0
2011-01-09,"Real Madrid","Villarreal",4,2
2011-01-09,"Santander","Sp Gijon",1,1
2011-01-10,"Hercules","Ath Madrid",4,1
2011-01-15,"Ath Bilbao","Santander",2,1
2011-01-15,"Getafe","Sociedad",0,4
2011-01-15,"Sevilla","Espanol",1,2
2011-01-15,"Sp Gijon","Hercules",2,0
2011-01-15,"Villarreal","Osasuna",4,2
2011-01-15,"Zaragoza","Levante",1,0
2011-01-16,"Almeria","Real Madrid",1,1
2011-01-16,"Barcelona","Malaga",4,1
2011-01-16,"Valencia","La Coruna",2,0
2011-01-17,"Ath Madrid","Mallorca",3,0
2011-01-22,"Barcelona","Santander",3,0
2011-01-22,"Sevilla","Levante",4,1
2011-01-22,"Valencia","Malaga",4,3
2011-01-23,"Almeria","Osasuna",3,2
2011-01-23,"Getafe","Espanol",1,3
2011-01-23,"Real Madrid","Mallorca",1,0
2011-01-23,"Sp Gijon","Ath Madrid",1,0
2011-01-23,"Villarreal","Sociedad",2,1
2011-01-23,"Zaragoza","La Coruna",1,0
2011-01-24,"Ath Bilbao","Hercules",3,0
2011-01-29,"Hercules","Barcelona",0,3
2011-01-29,"La Coruna","Sevilla",3,3
2011-01-29,"Levante","Getafe",2,0
2011-01-29,"Malaga","Zaragoza",1,2
2011-01-29,"Mallorca","Sp Gijon",0,4
2011-01-29,"Sociedad","Almeria",2,0
2011-01-30,"Ath Madrid","Ath Bilbao",0,2
2011-01-30,"Espanol","Villarreal",0,1
2011-01-30,"Osasuna","Real Madrid",1,0
2011-01-31,"Santander","Valencia",1,1
2011-02-05,"Almeria","Espanol",3,2
2011-02-05,"Ath Bilbao","Sp Gijon",3,0
2011-02-05,"Barcelona","Ath Madrid",3,0
2011-02-05,"Getafe","La Coruna",4,1
2011-02-05,"Osasuna","Mallorca",1,1
2011-02-05,"Villarreal","Levante",0,1
2011-02-05,"Zaragoza","Santander",1,1
2011-02-06,"Real Madrid","Sociedad",4,1
2011-02-06,"Sevilla","Malaga",0,0
2011-02-06,"Valencia","Hercules",2,0
2011-02-12,"Ath Madrid","Valencia",1,2
2011-02-12,"Santander","Sevilla",3,2
2011-02-12,"Sp Gijon","Barcelona",1,1
2011-02-13,"Espanol","Real Madrid",0,1
2011-02-13,"Hercules","Zaragoza",2,1
